?cls	?def	?xrefs
<http://vivoweb.org/ontology/core#GeopoliticalEntity>	"A geographical area which is associated with some sort of political  structure."	
<http://purl.obolibrary.org/obo/ERO_0000393>	"A service offering that describes a service in which the provider offers educational materials or events, such as courses, workshops or graduate programs, to the service consumer "	
<http://www.w3.org/2006/vcard/ns#Friend>		
<http://vivoweb.org/ontology/core#StudentOrganization>	"A student organization is an organization, operated by students at a university, whose membership normally consists only of students."	
<http://www.w3.org/2006/vcard/ns#Crush>		
<http://www.w3.org/2006/vcard/ns#Fax>		
<http://purl.obolibrary.org/obo/BFO_0000006>		
<http://vivoweb.org/ontology/core#GovernmentAgency>	"A unit of government responsible for oversight and regulation of certain activities or the administration and provision of specific services."	
<http://www.w3.org/2006/vcard/ns#Neighbor>		
<http://vivoweb.org/ontology/core#OutreachProviderRole>	"An outreach or community service role directed outside a person's primary profession and institution"	
<http://xmlns.com/foaf/0.1/Organization>	"A generic class encompassing several types of organizations."	
<http://www.w3.org/2006/vcard/ns#Video>		
<http://purl.org/ontology/bibo/Series>	"A thematic collection of documents, usually books, issued at regular or irregular intervals"	
<http://www.w3.org/2006/vcard/ns#RelatedType>		
<http://www.w3.org/2006/vcard/ns#Security>		
<http://www.w3.org/2006/vcard/ns#Geographical>		
<http://purl.obolibrary.org/obo/BFO_0000029>		
<http://purl.obolibrary.org/obo/ERO_0000790>	"A student role inhering in a person that is realized when the bearer participates in a post-baccalaureate training program in pursuit of an additional bachelor degree or new or additional training in a particular field."	
<http://vivoweb.org/ontology/core#Center>	"A place where a particular activity or service is concentrated."	
<http://vivoweb.org/ontology/core#AwardReceipt>	"The bestowal of an award, honor, or distinction to a person or person's at a particular time.  "	
<http://vivoweb.org/ontology/core#PostdoctoralTraining>	"Postdoctoral research is academic or scholarly research conducted by a person who has completed his or her doctoral studies, normally within the following five years. It is intended to further deepen expertise in a specialist subject."	
<http://purl.org/net/OCRe/study_design.owl#Phase_2>	"A Phase ll trial assesses therapeutic benefit (usually involving a few hundred people, usually with controls, but not always) [Glossary of Terms in The Cochrane Collaboration]"	
<http://www.w3.org/2006/vcard/ns#Parent>		
<http://purl.obolibrary.org/obo/BFO_0000015>	"p is a process = Def. p is an occurrent that has temporal proper parts and for some time t, p s-depends_on some material entity at t. (axiom label in BFO2 Reference: [083-003])"@en	
<http://vivoweb.org/ontology/scientific-research#Phase2ClinicalTrial>	"In Phase 2 trials, an experimental study drug or treatment is given to a larger group of people (100-300) to see if it is effective and to further evaluate its safety."	
<http://purl.obolibrary.org/obo/BFO_0000023>	"A person's, group's or organization's role in an endeavor"	
<http://purl.org/ontology/bibo/Statute>	"A bill enacted into law"	
<http://vivoweb.org/ontology/core#WorkshopSeries>	"An organized series of workshop events, whether repetitions of the same workshop or multiple different workshops."	
<http://vivoweb.org/ontology/core#AdvisingProcess>		
<http://purl.obolibrary.org/obo/OBI_0000011>	"A processual entity that realizes a plan which is the concretization of a plan specification."@en	
<http://www.w3.org/2006/vcard/ns#Muse>		
<http://vivoweb.org/ontology/core#Division>	"A major unit or section within a larger organization."	
<http://purl.obolibrary.org/obo/BFO_0000008>		
<http://vivoweb.org/ontology/core#College>	"A primary academic unit within a University or a free-standing higher education organization without graduate degree programs"	
<http://vivoweb.org/ontology/core#DateTimeInterval>	"a specific period or duration, defined by (optional) start and end date/times."	
<http://vivoweb.org/ontology/core#Laboratory>	"An organizational unit (as opposed to the physical facility) that performs research, provides services, or processes materials"	
<http://purl.obolibrary.org/obo/BFO_0000023>	"A realizable entity  the manifestation of which brings about some result or end that is not essential to a continuant  in virtue of the kind of thing that it is but that can be served or participated in by that kind of continuant  in some kinds of natural, social or institutional contexts."@en	
<http://purl.obolibrary.org/obo/ERO_0001263>	"A material processing service offering that describes a service in which the provider makes physical modifications to a specified input material, such that at least one of the specified outputs of this process is a modified version of a specified input material."	
<http://purl.org/ontology/bibo/Image>	"A visual representation such as a photograph or graph"	
<http://aims.fao.org/aos/geopolitical.owl#special_group>		
<http://purl.org/ontology/bibo/Map>	"A graphical depiction of geographic features, scientific discipline, scientific data analytical results"	
<http://purl.obolibrary.org/obo/IAO_0000032>	"a scalar measurement datum is a measurement datum that is composed of two parts, numerals and a unit label."@en	
<http://vivoweb.org/ontology/core#PrincipalInvestigatorRole>	"Role of a person to direct a project or activity being supported by an Agreement (for example, a grant), and who is accountable to the grantee for the proper conduct of the project or activity. Also known as Program Director or Project Director."	
<http://purl.org/ontology/bibo/LegalCaseDocument>	"Official court  papers for a case"	
<http://www.w3.org/2004/02/skos/core#Concept>		
<http://purl.obolibrary.org/obo/ERO_0000004>	"Material entity that is designed to have a function and play a role in scientific investigation."	
<http://purl.obolibrary.org/obo/BFO_0000019>		
<http://www.w3.org/2006/vcard/ns#URL>		
<http://purl.org/ontology/bibo/Excerpt>	"A passage selected from a larger work"	
<http://purl.org/ontology/bibo/LegalDecision>	"The written determination of a case, motion or claim by a court or tribunal"	
<http://purl.org/spar/fabio/Comment>	"A verbal or written remark concerning some entity. In written form, a comment is often appended to that entity and termed an annotation. Within computer programs or ontologies, comments are added to enhance human understanding, and are usually prefaced by"	
<http://purl.obolibrary.org/obo/ERO_0000785>	"A student role inhering in a person that is realized when the bearer participates a course of study at a university or institution in pursuit of an graduate or professional degree."	
<http://purl.org/ontology/bibo/Patent>	"(from BIBO) A document describing the exclusive right granted by a government to an inventor to manufacture, use, or sell an invention for a certain number of years"	
<http://vivoweb.org/ontology/core#Room>	"Room that provides a particular service or is used for a particular activity."	
<http://purl.obolibrary.org/obo/BFO_0000017>	"A specifically dependent continuant  that inheres in continuant  entities and are not exhibited in full at every time in which it inheres in an entity or group of entities. The exhibition or actualization of a realizable entity is a particular manifestation, functioning or process that occurs under certain circumstances."@en	
<http://www.w3.org/2006/vcard/ns#Title>		
<http://purl.obolibrary.org/obo/IAO_0000013>	"a report that is published in a journal"@en	
<http://www.w3.org/2006/vcard/ns#Role>		
<http://xmlns.com/foaf/0.1/Group>	" A collection of individual agents (and may itself play the role of a Agent, ie. something that can perform actions). "	
<http://vivoweb.org/ontology/core#AcademicDepartment>	"A distinct, usually specialized educational unit within an educational organization."	
<http://purl.obolibrary.org/obo/ERO_0000006>	"Processed material that is used in a chemical reaction or other experimental process to detect, measure, examine, or produce other  substances."	
